student_id,name,faculty,level,course,unit,grade,mark,semester
CS100/AA0001,CS100/AA0001,Engineering,100,MAT102,3,B,69,First Semester
CS100/AA0002,CS100/AA0002,Engineering,100,MAT102,3,A,85,First Semester
CS100/AA0003,CS100/AA0003,Engineering,100,MAT102,3,B,66,First Semester
CS100/AA0010,CS100/AA0010,Engineering,100,MAT102,3,A,74,First Semester
CS100/AA0025,CS100/AA0025,Engineering,100,MAT102,3,D,48,First Semester
CS100/AA0001,CS100/AA0001,Engineering,100,MAT102,3,B,69,First Semester
CS100/AA0002,CS100/AA0002,Engineering,100,MAT102,3,A,85,First Semester
CS100/AA0003,CS100/AA0003,Engineering,100,MAT102,3,B,66,First Semester
CS100/AA0010,CS100/AA0010,Engineering,100,MAT102,3,A,74,First Semester
CS100/AA0025,CS100/AA0025,Engineering,100,MAT102,3,D,48,First Semester
CS100/AA0057,CS100/AA0057,Engineering,100,MAT102,3,B,68,First Semester
CS100/AA0057,CS100/AA0057,Engineering,100,MAT102,3,B,68,First Semester
